name,actor,information,date,star,evaluate,introduction
低俗小说,约翰·特拉沃尔塔JohnTra..., 美国   剧情喜剧犯罪,1994 ,8.9,843315人评价,故事的高级讲法。
春光乍泄,张国荣LeslieCheung/梁朝伟TonyLeu..., 中国香港日本韩国   剧情爱情同性,1997 ,9.0,639484人评价,爱情纠缠，男女一致。
摩登时代,查理·卓别林CharlesChaplin..., 美国   剧情喜剧爱情,1936 ,9.3,305365人评价,大时代中的人生，小人物的悲喜。
美国往事,罗伯特·德尼罗RobertDeNiro..., 美国意大利   犯罪剧情,1984 ,9.2,416824人评价,往事如烟，无处祭奠。
喜剧之王,周星驰StephenCh..., 中国香港   喜剧剧情爱情,1999 ,8.8,981574人评价,我是一个演员。
致命ID,约翰·库萨克JohnCusack/雷..., 美国   剧情悬疑惊悚,2003 ,8.9,836239人评价,最不可能的那个人永远是最可能的。
杀人回忆,宋康昊Kang-hoSong/金相庆Sang-kyun..., 韩国   剧情动作犯罪悬疑惊悚,2003 ,8.9,724699人评价,关于连环杀人悬案的集体回忆。
七宗罪,摩根·弗里曼MorganFreeman/布..., 美国   剧情犯罪悬疑惊悚,1995 ,8.8,951933人评价,警察抓小偷，老鼠玩死猫。
红辣椒,林原惠美MegumiHayashibara/江守彻Toru..., 日本   动画悬疑科幻惊悚,2006 ,9.1,472837人评价,梦的勾结。
加勒比海盗,约翰尼·德普JohnnyDepp/..., 美国   动作冒险奇幻,2003 ,8.8,869303人评价,约翰尼·德普的独角戏。
哈利·波特与密室,丹尼尔·雷德克里夫DanielRadcliffe/艾玛..., 英国美国   奇幻冒险,2002 ,8.9,770669人评价,魔法的密室之门已打开...
一一,吴念真/李凯莉KellyLee/金燕玲Elai..., 中国台湾日本   剧情爱情家庭,2000 ,9.1,401187人评价,我们都曾经是一一。
狩猎,麦斯·米科尔森MadsMik..., 丹麦瑞典   剧情,2012 ,9.1,397542人评价,人言可畏。
唐伯虎点秋香,周星驰StephenChow/巩俐LiGong/陈..., 中国香港   喜剧爱情古装,1993 ,8.7,1093214人评价,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物,柳承龙Seung-yongRyoo/朴信惠Shi..., 韩国   剧情喜剧家庭,2013 ,8.9,563590人评价,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,中谷美纪MikiNakatani/瑛太E..., 日本   剧情歌舞,2006 ,8.9,710026人评价,以戏谑来戏谑戏谑。
请以你的名字呼唤我,艾米·汉莫ArmieHammer/..., 意大利法国巴西美国   剧情爱情同性,2017 ,8.8,731308人评价,沉醉在电影的情感和视听氛围中无法自拔。
蝙蝠侠：黑暗骑士崛起,克里斯蒂安·贝尔Christ..., 美国英国   剧情动作科幻犯罪惊悚,2012 ,8.8,731812人评价,诺兰就是保证。
断背山,希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake..., 美国加拿大   剧情爱情同性家庭,2005 ,8.8,713251人评价,每个人心中都有一座断背山。
剪刀手爱德华,约翰尼·德普JohnnyDepp/薇诺娜·..., 美国   剧情奇幻爱情,1990 ,8.7,1043380人评价,浪漫忧郁的成人童话。
爱在黎明破晓前,伊桑·霍克EthanHawke..., 美国奥地利瑞士   剧情爱情,1995 ,8.8,693299人评价,缘分是个连绵词，最美不过一瞬。
入殓师,本木雅弘MasahiroMotoki/..., 日本   剧情,2008 ,8.9,674708人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,布鲁斯·威利斯BruceWi..., 美国   剧情悬疑惊悚,1999 ,8.9,562651人评价,深入内心的恐怖，出人意料的结局。
重庆森林,林青霞BrigitteLin/金城武TakeshiK..., 中国香港   剧情爱情,1994 ,8.8,820790人评价,寂寞没有期限。
勇敢的心,梅尔·吉布森MelGibson/苏菲·玛..., 美国   动作传记剧情历史战争,1995 ,8.9,562793人评价,史诗大片的典范。
超能陆战队,斯科特..., 美国   喜剧动作科幻动画冒险,2014 ,8.7,1026723人评价,Balalala~~~
甜蜜蜜,黎明LeonLai/张曼玉MaggieCheung/..., 中国香港   剧情爱情,1996 ,8.9,563336人评价,相逢只要一瞬间，等待却像是一辈子。
幽灵公主,松田洋治YôjiMatsuda/石田百合..., 日本   动画奇幻冒险,1997 ,8.9,530027人评价,人与自然的战争史诗。
爱在日落黄昏时,伊桑·霍克EthanHawke..., 美国法国   剧情爱情,2004 ,8.9,569512人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,北野武TakeshiKitano/关口雄介Yus..., 日本   剧情喜剧,1999 ,8.9,603073人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,志田未来MiraiShida/神木..., 日本   动画奇幻冒险,2010 ,8.9,560462人评价,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人,本·阿弗莱克BenAffleck/罗莎蒙..., 美国   剧情犯罪悬疑惊悚,2014 ,8.7,966002人评价,年度最佳date movie。
阳光灿烂的日子,夏雨YuXia/宁静JingNing/陶虹HongTao, 中国大陆中国香港   剧情爱情,1994 ,8.8,620806人评价,一场华丽的意淫。
天使爱美丽,奥黛丽·塔图AudreyTau..., 法国德国   剧情喜剧爱情,2001 ,8.7,960573人评价,法式小清新。 
完美的世界,凯文·科斯特纳KevinCos..., 美国   剧情犯罪,1993 ,9.1,319032人评价,坏人的好总是比好人的好来得更感人。
寄生虫,宋康昊Kang-hoSong/李善均Seon-gyun..., 韩国   剧情,2019 ,8.8,1385313人评价,无介绍
小森林 夏秋篇,桥本爱AiHashimoto/三浦贵大Takahir..., 日本   剧情,2014 ,9.0,430264人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
无人知晓,柳乐优弥YûyaYagira/北浦爱..., 日本   剧情,2004 ,9.1,323137人评价,我的平常生活就是他人的幸福。
倩女幽魂,张国荣LeslieCheung/王祖贤JoeyW..., 中国香港   爱情奇幻武侠古装,1987 ,8.8,745758人评价,两张绝世的脸。 
时空恋旅人,多姆纳尔·格里森DomhnallGl..., 英国   喜剧爱情奇幻,2013 ,8.8,683605人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
侧耳倾听,本名阳子YoukoHonna/小林桂树K..., 日本   剧情爱情动画,1995 ,8.9,468283人评价,少女情怀总是诗。
幸福终点站,汤姆·汉克斯TomHanks..., 美国   喜剧剧情爱情,2004 ,8.8,578032人评价,有时候幸福需要等一等。 
未麻的部屋,岩男润子JunkoIwao/松本梨香RicaMatsu..., 日本   动画奇幻惊悚,1997 ,9.1,341841人评价,好的剧本是，就算你猜到了结局也猜不到全部。
